Product_ID,Finishing_Category,Subcategory,Product_Name,Brand,Product_Type,Material,Quality_Level,Price_EGP,Unit,Quantity_Rule,Rule_Value,Required_For,Optional
P000001,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Knauf,Decorative Panel,Gypsum,Low,203,Piece,Area_m2/Coverage,1.0,Reception,True
P000002,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG Boral,Decorative Panel,Gypsum,Low,219,Piece,Area_m2/Coverage,1.0,Reception,True
P000003,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Gyproc,Gypsum Board,Gypsum,Low,231,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000004,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Gyproc,Decorative Panel,Gypsum,Medium,281,Piece,Area_m2/Coverage,1.0,Reception,True
P000005,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Siniat,Gypsum Board,Gypsum,High,298,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000006,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Knauf,Gypsum Board,Gypsum,Low,181,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000007,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG Boral,Decorative Panel,Gypsum,Medium,267,Piece,Area_m2/Coverage,1.0,Reception,True
P000008,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG,Decorative Panel,Gypsum,Low,227,Piece,Area_m2/Coverage,1.0,Reception,True
P000009,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Siniat,Gypsum Board,Gypsum,High,338,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000010,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Gyproc,Gypsum Board,Gypsum,High,289,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000011,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Knauf,Gypsum Board,Gypsum,High,311,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000012,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG,Gypsum Board,Gypsum,Low,222,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000013,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Knauf,Gypsum Board,Gypsum,High,293,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000014,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Gyproc,Decorative Panel,Gypsum,Low,212,Piece,Area_m2/Coverage,1.0,Reception,True
P000015,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG Boral,Gypsum Board,Gypsum,Medium,254,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000016,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG Boral,Gypsum Board,Gypsum,High,344,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000017,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Siniat,Gypsum Board,Gypsum,Medium,240,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000018,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG Boral,Decorative Panel,Gypsum,Medium,251,Piece,Area_m2/Coverage,1.0,Reception,True
P000019,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Gyproc,Gypsum Board,Gypsum,High,347,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000020,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Knauf,Decorative Panel,Gypsum,High,305,Piece,Area_m2/Coverage,1.0,Reception,True
P000021,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG Boral,Gypsum Board,Gypsum,Low,228,Sheet,Area_m2/Coverage,1.0,Ceiling,False
