Brand,Floor_Type,Grade,Size_cm,Unit,Size_Length_cm,Size_Width_cm,Tile_Area_m2,Price_EGP
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,701
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,747
Alfa Ceramic,Ceramic,Second,60x60,m2,60.0,60.0,0.36,247
Ceramica Cleopatra,Ceramic,Third,60x60,m2,60.0,60.0,0.36,238
Alfa Ceramic,Ceramic,First,60x60,m2,60.0,60.0,0.36,354
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,284
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,260
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,324
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,265
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,751
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,679
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,372
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,884
Gemma,Porcelain,Second,60x120,m2,60.0,120.0,0.72,731
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,778
Gemma,Ceramic,Third,60x60,m2,60.0,60.0,0.36,173
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,917
Ceramica Cleopatra,Porcelain,Second,60x120,m2,60.0,120.0,0.72,657
Lecico,Ceramic,Second,60x60,m2,60.0,60.0,0.36,244
Alfa Ceramic,Ceramic,First,60x60,m2,60.0,60.0,0.36,287
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,746
Ceramica Cleopatra,Porcelain,Third,60x120,m2,60.0,120.0,0.72,452
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,531
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,654
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,322
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,920
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,460
Ceramica Cleopatra,Porcelain,Second,60x120,m2,60.0,120.0,0.72,623
Gemma,Porcelain,Second,60x120,m2,60.0,120.0,0.72,681
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,744
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,683
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,329
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,821
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,822
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,371
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,794
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,332
Alfa Ceramic,Ceramic,Third,60x60,m2,60.0,60.0,0.36,205
Gemma,Ceramic,Second,60x60,m2,60.0,60.0,0.36,296
Ceramica Cleopatra,Porcelain,Second,60x120,m2,60.0,120.0,0.72,657
Royal Ceramica,Porcelain,Third,60x120,m2,60.0,120.0,0.72,607
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,687
Alfa Ceramic,Ceramic,First,60x60,m2,60.0,60.0,0.36,317
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,539
Gemma,Ceramic,Second,60x60,m2,60.0,60.0,0.36,236
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,747
Ceramica Cleopatra,Porcelain,Third,60x120,m2,60.0,120.0,0.72,525
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,586
Alfa Ceramic,Ceramic,Second,60x60,m2,60.0,60.0,0.36,213
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,334
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,522
