Brand,Product_Name,Paint_Category,Paint_Type,Finish,Application,Quality_Level,Quality_Score,Coverage_m2_per_L,Coats,Unit,Waste_Factor,Quantity_Rule,Rule_Value,Required_For,Optional,Price_EGP,Category,Subcategory,Grade,Quality_Price_Band,Apartment_Area_m2,Estimated_Paintable_Area_m2,Estimated_Quantity_L,Estimated_Total_Cost,Finishing_Category
Jotun,Interior Top Coat,Interior,Top Coat,Matte,Walls,Medium,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,95,Paints,Interior,Not Applicable,Medium: 56 - 147,100,300,66.0,6270.0,Paints
GLC,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,166,Paints,Interior,Not Applicable,High: > 147,100,300,66.0,10956.0,Paints
Sipes,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,219,Paints,Interior,Not Applicable,High: > 147,100,300,66.0,14454.0,Paints
SCIB,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,205,Paints,Interior,Not Applicable,High: > 147,100,300,66.0,13530.0,Paints
GLC,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,171,Paints,Interior,Not Applicable,High: > 147,100,300,66.0,11286.0,Paints
Jotun,Interior Primer,Interior,Primer,Matte,Walls,Low,7.2,11,1,Liter,0.08,Paintable_Area/Coverage,1,Walls,False,35,Paints,Interior,Not Applicable,Low: <= 56,100,300,29.454545454545453,1030.9090909090908,Paints
Sipes,Interior Primer,Interior,Primer,Matte,Walls,Low,7.2,11,1,Liter,0.08,Paintable_Area/Coverage,1,Walls,False,52,Paints,Interior,Not Applicable,Low: <= 56,100,300,29.454545454545453,1531.6363636363635,Paints
Pachin,Interior Top Coat,Interior,Top Coat,Matte,Walls,Medium,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,123,Paints,Interior,Not Applicable,Medium: 56 - 147,100,300,66.0,8118.0,Paints
GLC,Interior Primer,Interior,Primer,Matte,Walls,Low,7.2,11,1,Liter,0.08,Paintable_Area/Coverage,1,Walls,False,40,Paints,Interior,Not Applicable,Low: <= 56,100,300,29.454545454545453,1178.181818181818,Paints
SCIB,Interior Primer,Interior,Primer,Matte,Walls,Low,7.2,11,1,Liter,0.08,Paintable_Area/Coverage,1,Walls,False,37,Paints,Interior,Not Applicable,Low: <= 56,100,300,29.454545454545453,1089.8181818181818,Paints
Sipes,Interior Top Coat,Interior,Top Coat,Matte,Walls,Medium,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,96,Paints,Interior,Not Applicable,Medium: 56 - 147,100,300,66.0,6336.0,Paints
Pachin,Interior Top Coat,Interior,Top Coat,Matte,Walls,Medium,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,108,Paints,Interior,Not Applicable,Medium: 56 - 147,100,300,66.0,7128.0,Paints
Sipes,Interior Primer,Interior,Primer,Matte,Walls,Low,7.2,11,1,Liter,0.08,Paintable_Area/Coverage,1,Walls,False,50,Paints,Interior,Not Applicable,Low: <= 56,100,300,29.454545454545453,1472.7272727272727,Paints
