Finishing_Category,Brand,Ceiling_Type,Material,Component,Specification,Application,Coverage_m2,Quality_Level,Quality_Score,Unit,Quantity_Rule,Rule_Value,Required_For,Optional,Price_EGP,Category,Subcategory,Product_Name,Grade,Quality_Price_Band,Source_File,Price_Outlier
Ceilings,Knauf,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,Low,8.4,Piece,Area_m2/Coverage,1,Reception,True,203,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
Ceilings,USG Boral,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,Low,8.4,Piece,Area_m2/Coverage,1,Reception,True,219,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
Ceilings,Gyproc,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Low,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,231,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
Ceilings,Gyproc,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,Medium,8.4,Piece,Area_m2/Coverage,1,Reception,True,281,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,Medium: 234 - 285,ceilings_gypsum.csv,False
Ceilings,Siniat,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,High,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,298,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,High: > 285,ceilings_gypsum.csv,False
Ceilings,Knauf,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Low,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,181,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
Ceilings,USG Boral,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,Medium,8.4,Piece,Area_m2/Coverage,1,Reception,True,267,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,Medium: 234 - 285,ceilings_gypsum.csv,False
Ceilings,USG,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,Low,8.4,Piece,Area_m2/Coverage,1,Reception,True,227,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
Ceilings,Siniat,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,High,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,338,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,High: > 285,ceilings_gypsum.csv,False
Ceilings,Gyproc,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,High,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,289,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,High: > 285,ceilings_gypsum.csv,False
Ceilings,Knauf,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,High,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,311,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,High: > 285,ceilings_gypsum.csv,False
Ceilings,USG,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Low,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,222,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
Ceilings,Knauf,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,High,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,293,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,High: > 285,ceilings_gypsum.csv,False
Ceilings,Gyproc,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,Low,8.4,Piece,Area_m2/Coverage,1,Reception,True,212,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
Ceilings,USG Boral,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Medium,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,254,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Medium: 234 - 285,ceilings_gypsum.csv,False
Ceilings,USG Boral,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,High,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,344,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,High: > 285,ceilings_gypsum.csv,False
Ceilings,Siniat,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Medium,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,240,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Medium: 234 - 285,ceilings_gypsum.csv,False
Ceilings,USG Boral,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,Medium,8.4,Piece,Area_m2/Coverage,1,Reception,True,251,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,Medium: 234 - 285,ceilings_gypsum.csv,False
