Product_ID,Finishing_Category,Category,Subcategory,Product_Name,Brand,Material,Product_Type,Quality_Level,Quality_Score,Grade,Quality_Price_Band,Price_EGP,Unit,Quantity_Rule,Rule_Value,Required_For,Optional,Application,Specification,Ceiling_Type,Coats,Component,Coverage_m2,Coverage_m2_per_L,Door_Category,Door_Type,Electrical_Category,Finish,Floor_Type,Paint_Category,Paint_Type,Plumbing_Category,Power_W,Price_Outlier,Size,Size_cm,Source_File,Waste_Factor
P000001,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Knauf,Gypsum,,Low,8.4,Not Applicable,Low: <= 234,203,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000002,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG Boral,Gypsum,,Low,8.4,Not Applicable,Low: <= 234,219,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000003,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Gyproc,Gypsum,,Low,8.7,Not Applicable,Low: <= 234,231,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000004,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Gyproc,Gypsum,,Medium,8.4,Not Applicable,Medium: 234 - 285,281,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000005,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Siniat,Gypsum,,High,8.7,Not Applicable,High: > 285,298,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000006,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Knauf,Gypsum,,Low,8.7,Not Applicable,Low: <= 234,181,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000007,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG Boral,Gypsum,,Medium,8.4,Not Applicable,Medium: 234 - 285,267,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000008,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG,Gypsum,,Low,8.4,Not Applicable,Low: <= 234,227,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000009,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Siniat,Gypsum,,High,8.7,Not Applicable,High: > 285,338,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000010,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Gyproc,Gypsum,,High,8.7,Not Applicable,High: > 285,289,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
