Scenario_ID,Apartment_Area_m2,Rooms,Bathrooms,Master_Bathrooms,Balconies,Receptions,Finishing_Level,Reception_Area_m2,Bedroom_Area_m2,Paintable_Area_m2,Paints_Quality,Electrical_Basic_Quality,Flooring_Quality,Sanitary_Quality,Doors_Quality,Ceilings_Quality,Electrical_Finishing_Quality,Plumbing_Quality,Include_Reception_Ceiling_Upgrade,Include_Reception_Chandelier,Include_Master_Bathroom_Upgrade,Plumbing_System,Ceilings_Cost,Doors_Cost,Electrical_Basic_Cost,Electrical_Finishing_Cost,Flooring_Cost,Paints_Cost,Plumbing_Cost,Sanitary_Cost,Labor_Cost,Auxiliary_Cost,Total_Finishing_Cost_EGP
S000001,147.6,4,2,1,2,1,Low,51.7,95.9,442.8,Low,Medium,Medium,Medium,Low,Medium,Medium,Low,False,False,False,PPR Pipes,12300.0,37336.0,40516.812,4296.0,60612.600000000006,1695.5214545454546,2460.0,20940.0,65922.0,28754.0,274832.93
S000002,125.8,3,1,1,1,1,Medium,44.0,81.8,377.4,Medium,Medium,Low,Medium,Medium,Medium,High,High,False,True,True,PVC Pipes,12448.958333333334,34046.0,36387.738,6432.0,51166.2,10212.444,950.0,13643.0,43895.0,25473.0,234654.34
S000003,152.7,4,2,1,2,1,Medium,53.4,99.3,458.1,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,True,True,False,PVC Pipes,52266.875,44177.0,42027.907,6778.0,64797.899999999994,10783.674,1600.0,18504.0,56992.5,32649.5,330577.36
S000004,100.2,3,2,1,1,1,Medium,35.1,65.1,300.6,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,True,True,False,PVC Pipes,32717.29166666667,32187.0,27896.951999999997,6354.0,50232.6,9126.216,1540.0,18458.0,41355.0,22937.0,242804.06
S000005,81.6,2,1,1,2,1,Medium,28.6,53.0,244.8,Medium,Medium,High,Low,Medium,High,Medium,Low,False,True,True,PPR Pipes,9350.0,32840.0,23267.807999999997,4198.0,37039.4,7485.984000000001,1230.0,12826.0,30540.0,17296.0,176073.19
S000006,215.9,5,3,1,1,1,Medium,75.6,140.3,647.7,Medium,Medium,Low,Medium,Medium,Medium,Medium,High,True,False,True,PVC Pipes,71631.52777777778,43134.0,58655.090000000004,4972.0,81941.4,3751.949454545455,2700.0,32655.0,80072.5,46541.5,426054.97
S000007,165.5,4,1,1,3,1,High,57.9,107.6,496.5,Medium,Medium,High,High,Medium,High,High,High,True,True,True,PVC Pipes,70257.8125,52551.0,44685.15,7082.0,50529.399999999994,15838.350000000002,960.0,20707.0,56012.5,32817.5,351440.71
S000008,184.2,4,2,1,0,1,Low,64.5,119.7,552.6,Low,Low,Low,Low,Low,Low,Low,Low,False,False,False,PPR Pipes,11704.375,25478.0,48902.191999999995,2792.0,90121.8,2767.01890909091,2280.0,15380.0,78549.0,34793.0,312767.39
S000009,87.1,2,1,1,0,1,Medium,30.5,56.6,261.3,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,True,True,True,PVC Pipes,31905.86805555556,20733.0,23146.932999999997,4573.0,41019.9,7128.264000000001,730.0,13880.0,32052.5,18313.5,193482.97
S000010,149.4,3,1,1,2,1,Medium,52.3,97.1,448.2,Medium,Low,Medium,Low,High,Medium,Low,Medium,True,False,False,PVC Pipes,52463.61111111111,42592.0,39244.944,1276.0,56575.1,12621.312000000002,810.0,7720.0,50385.0,29839.0,293526.97
S000011,122.1,3,2,1,0,1,High,42.7,79.4,366.3,High,High,Medium,High,Medium,High,High,High,True,True,False,PVC Pipes,48301.59722222223,26459.0,34483.092000000004,6330.0,45977.8,15553.098000000002,2020.0,22052.0,47377.5,26988.5,275542.59
S000012,160.3,4,2,1,1,1,Medium,56.1,104.2,480.9,Medium,Medium,High,High,Medium,Medium,Medium,Medium,False,False,True,PVC Pipes,15028.125000000002,38607.0,43910.03200000001,4264.0,70656.5,13647.942000000001,1540.0,28206.0,59082.5,34055.5,308997.6
S000013,104.6,3,2,1,1,1,High,36.6,68.0,313.8,High,High,Medium,High,Medium,High,High,High,True,True,True,PVC Pipes,42833.61111111111,31432.0,30207.38,6454.0,36707.2,13392.984000000002,1820.0,32329.0,42565.0,23751.0,261492.18
S000014,173.3,4,2,1,2,1,Medium,60.7,112.6,519.9,High,Medium,High,Medium,Medium,Medium,High,Medium,True,False,False,PVC Pipes,61543.71527777778,42645.0,48042.505000000005,4296.0,80068.6,18757.992,1500.0,21246.0,62657.5,36460.5,377217.81
S000015,114.0,3,1,1,1,1,Medium,39.9,74.1,342.0,Medium,Medium,Medium,High,Medium,Medium,Low,Low,True,True,False,PPR Pipes,41538.75,32691.0,31438.32,3424.0,52799.09999999999,10383.12,1170.0,11566.0,40650.0,23290.0,248950.29
S000016,77.2,2,1,1,0,1,High,27.0,50.2,231.6,High,High,Medium,High,Medium,Medium,High,Medium,True,False,False,PVC Pipes,25291.11111111111,20757.0,22990.428,2848.0,37105.4,8254.224,740.0,11114.0,29330.0,16482.0,174912.16
S000017,135.4,3,2,1,1,1,Medium,47.4,88.0,406.2,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,False,True,False,PVC Pipes,11941.52777777778,32953.0,37490.436,6484.0,55510.8,13136.508,1720.0,17942.0,51035.0,29449.0,257662.27
S000018,98.9,2,1,1,0,1,Medium,34.6,64.3,296.7,Medium,High,Medium,Medium,High,Medium,Medium,Medium,False,False,True,PVC Pipes,8722.430555555557,24973.0,29260.696000000004,2848.0,37928.1,1660.4410909090911,750.0,14197.0,35297.5,20496.5,176133.67
S000019,173.6,4,2,1,3,1,High,60.8,112.8,520.8,High,High,High,High,High,Medium,High,High,True,True,True,PVC Pipes,62286.11111111111,52019.0,49606.21599999999,6834.0,85132.0,21769.44,1820.0,30516.0,62740.0,36516.0,409238.77
S000020,115.7,3,1,1,0,1,Low,40.5,75.2,347.1,Medium,Medium,Medium,Low,Low,Medium,Medium,Low,False,False,False,PPR Pipes,11328.958333333334,24209.0,33118.997,3572.0,48091.7,8247.096000000001,1020.0,7210.0,49216.5,21290.5,207304.75
S000021,159.4,4,2,1,2,1,High,55.8,103.6,478.2,High,High,High,Medium,High,High,Medium,High,True,True,True,PVC Pipes,67344.51388888889,44584.0,44938.46,5883.0,74817.2,19988.76,2000.0,23997.0,58835.0,33889.0,376276.93
S000022,119.3,3,1,1,1,1,High,41.8,77.5,357.9,High,Medium,Medium,High,High,High,Medium,High,True,False,False,PVC Pipes,50974.722222222226,36243.0,33282.637,3564.0,55924.3,16928.67,940.0,11748.0,42107.5,24270.5,275983.33
S000023,209.4,5,2,1,2,1,Medium,73.3,136.1,628.2,Medium,Medium,Low,Medium,Medium,Medium,High,Medium,False,False,False,PVC Pipes,18177.083333333336,51319.0,56819.85,4988.0,80422.09999999999,17828.316000000003,1560.0,18096.0,73785.0,43139.0,366134.35
S000024,178.6,4,2,1,3,1,Low,62.5,116.1,535.8,Medium,Medium,Medium,Low,Medium,Low,Low,Low,False,False,True,PPR Pipes,13953.125,48724.0,48778.511999999995,3232.0,78443.9,17209.896,2580.0,18223.0,76617.0,33869.0,341630.43
S000025,164.4,4,1,1,1,1,Low,57.5,106.9,493.2,Medium,Low,Low,Low,Low,Medium,Low,Medium,False,True,False,PVC Pipes,15469.583333333334,27583.0,43881.596000000005,4421.0,51477.600000000006,11609.928,780.0,7933.0,67218.0,29326.0,259699.71
S000026,108.7,2,1,1,1,1,Low,38.0,70.7,326.1,Low,Medium,Low,Low,Medium,Low,Low,Low,False,False,False,PPR Pipes,8567.673611111111,27531.0,28292.850000000002,1400.0,39485.3,1312.7007272727274,1260.0,8450.0,45601.5,20135.5,182036.52
S000027,130.8,3,2,1,1,1,Low,45.8,85.0,392.4,Low,Medium,Medium,Medium,Low,Low,Low,Medium,False,False,False,PVC Pipes,9174.166666666668,25747.0,36315.42,2552.0,52877.8,1964.8538181818183,1480.0,20732.0,58926.0,25982.0,235751.24
S000028,52.2,1,1,1,1,1,Medium,18.3,33.9,156.6,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,False,False,True,PVC Pipes,5075.0,23707.0,14600.514000000001,2132.0,23733.0,5064.444,820.0,15053.0,21255.0,11857.0,123296.96
S000029,94.9,2,1,1,1,1,High,33.2,61.7,284.7,High,High,High,High,Medium,High,High,Medium,True,True,True,PVC Pipes,40899.02777777778,27164.0,28419.792999999998,5151.0,41232.3,9958.806,750.0,21438.0,34197.5,19756.5,228966.93
S000030,140.5,3,1,1,1,1,Medium,49.2,91.3,421.5,Medium,Low,Medium,Medium,High,Medium,High,Low,True,False,False,PPR Pipes,47963.05555555556,36257.0,37493.89,3548.0,64983.40000000001,9736.65,1050.0,8937.0,47937.5,28192.5,286099.0
S000031,144.0,3,1,1,0,1,Medium,50.4,93.6,432.0,Medium,Medium,High,Medium,Medium,Medium,Medium,High,True,False,False,PVC Pipes,49040.0,25720.0,39714.72,3572.0,47534.399999999994,10644.480000000001,870.0,8838.0,48900.0,28840.0,263673.6
S000032,214.2,5,2,1,1,1,High,75.0,139.2,642.6,High,High,High,Medium,High,High,Medium,Medium,True,True,True,PVC Pipes,85168.33333333334,46076.0,62334.17199999999,6361.0,98730.6,30253.608000000004,1500.0,24591.0,75105.0,44027.0,474146.71
S000033,85.3,2,1,1,2,1,High,29.9,55.4,255.9,High,High,High,High,High,High,High,High,False,True,True,PVC Pipes,10010.90277777778,35364.0,24550.856999999996,5250.0,40450.2,11766.282000000001,930.0,20586.0,31557.5,17980.5,198446.24
S000034,117.4,3,2,1,2,1,Medium,41.1,76.3,352.2,Medium,Low,Medium,Medium,Low,Medium,Medium,Medium,True,True,False,PVC Pipes,37941.597222222226,30485.0,30290.310000000005,5395.0,36313.8,8988.144,1640.0,16552.0,46085.0,26119.0,239809.85
S000035,126.9,3,2,1,1,1,Medium,44.4,82.5,380.7,Medium,Low,Medium,Medium,High,Medium,Medium,Medium,True,True,True,PVC Pipes,43425.9375,37237.0,33045.69,5545.0,54510.6,11641.806,1480.0,24733.0,48697.5,27876.5,288193.03
S000036,105.1,2,1,1,1,1,Medium,36.8,68.3,315.3,Low,Medium,High,Low,Medium,Low,Medium,Medium,False,False,True,PVC Pipes,7809.51388888889,26595.0,29127.811999999998,2848.0,43703.2,1269.2258181818183,740.0,12676.0,37002.5,21643.5,183414.75
S000037,90.2,2,1,1,1,1,Medium,31.6,58.6,270.6,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,False,True,True,PVC Pipes,8706.805555555557,26831.0,27400.200000000004,4760.0,30152.6,6608.052000000001,780.0,14329.0,32905.0,18887.0,171359.66
S000038,125.5,3,1,1,1,1,Low,43.9,81.6,376.5,Low,Low,Low,Medium,Low,Low,Low,Medium,False,False,False,PVC Pipes,9020.3125,24671.0,33353.815,2100.0,53911.299999999996,1589.5145454545457,760.0,9939.0,52597.5,22907.5,210849.94
S000039,85.6,2,1,1,1,1,Medium,30.0,55.6,256.8,Medium,Medium,Medium,Medium,Low,High,Medium,Medium,False,True,False,PVC Pipes,8708.611111111111,23499.0,23923.631999999998,5086.0,38665.2,6327.552000000001,850.0,8801.0,31640.0,18036.0,165537.0
S000040,116.1,3,2,1,2,1,Medium,40.6,75.5,348.3,Medium,Medium,Medium,Medium,High,Low,High,Medium,False,False,True,PVC Pipes,7296.5625,41125.0,32671.052999999996,3564.0,59588.9,11264.022,1640.0,20957.0,45727.5,25878.5,249712.54
S000041,118.1,3,2,1,1,1,Medium,41.3,76.8,354.3,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,True,False,True,PVC Pipes,37965.69444444444,31435.0,30738.411999999997,3556.0,40260.0,10834.494,1460.0,27137.0,46277.5,26248.5,255912.6
S000042,161.6,4,2,1,2,1,High,56.6,105.0,484.8,High,High,Medium,High,High,High,Medium,High,True,True,True,PVC Pipes,72118.33333333334,50264.0,48240.24,6140.0,67444.20000000001,18344.832000000002,1960.0,32780.0,59440.0,34296.0,391027.61
S000043,140.6,3,1,1,1,1,High,49.2,91.4,421.8,High,High,High,High,High,Medium,Medium,Medium,True,False,True,PVC Pipes,50188.68055555556,36240.0,39716.194,3572.0,65254.00000000001,14754.564000000004,790.0,19339.0,47965.0,28211.0,306030.44
S000044,82.1,2,1,1,0,1,Medium,28.7,53.4,246.3,High,High,High,Medium,Low,Medium,Medium,Medium,False,False,False,PVC Pipes,7753.888888888889,18407.0,24522.412999999997,2856.0,35664.0,11595.804,760.0,11390.0,30677.5,17388.5,161015.11
S000045,160.6,4,2,1,2,1,Low,56.2,104.4,481.8,Low,Low,Medium,Low,Medium,Medium,Medium,Medium,False,False,False,PVC Pipes,14219.791666666666,45775.0,42916.827999999994,4280.0,70466.20000000001,2601.7200000000003,1620.0,13556.0,70407.0,30899.0,296741.54
S000046,149.6,4,2,1,2,1,Low,52.4,97.2,448.8,Low,Low,Low,Low,Low,Medium,Low,Low,False,False,False,PPR Pipes,13661.388888888889,40951.0,39604.768,3344.0,66089.2,2335.3920000000003,2580.0,12950.0,66612.0,29084.0,277211.75
S000047,128.6,3,1,1,3,1,Medium,45.0,83.6,385.8,Medium,Medium,Medium,Medium,High,Medium,Low,Medium,True,False,True,PVC Pipes,46770.416666666664,50146.0,35047.166,2296.0,49636.2,11797.764000000001,830.0,15053.0,44665.0,25991.0,282232.55
S000048,101.4,2,1,1,0,1,High,35.5,65.9,304.2,Medium,Medium,High,High,High,High,High,Medium,True,True,True,PVC Pipes,44758.958333333336,22684.0,28598.97,5489.0,49360.100000000006,6491.628000000001,770.0,21384.0,35985.0,20959.0,236480.66
S000049,139.5,3,2,1,2,1,Medium,48.8,90.7,418.5,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,False,True,False,PPR Pipes,13707.8125,40866.0,38212.619999999995,5318.0,64865.3,13166.01,2640.0,17912.0,52162.5,30207.5,279057.74
S000050,87.4,2,1,1,2,1,Low,30.6,56.8,262.2,Low,Low,Low,Medium,Low,Low,Low,Low,False,False,False,PPR Pipes,7101.250000000001,26734.0,23185.674,1424.0,41233.8,1287.1636363636362,1020.0,9881.0,38253.0,16621.0,166740.89
S000051,91.9,2,1,1,1,1,Low,32.2,59.7,275.7,Low,Low,Low,Medium,Low,Low,Low,Low,True,False,False,PPR Pipes,24961.250000000004,21256.0,23150.103000000003,1032.0,35137.4,1001.5429090909092,1170.0,9724.0,39805.5,17363.5,174601.3
S000052,53.2,1,1,1,2,1,Low,18.6,34.6,159.6,Low,Low,Medium,Low,Low,Low,Medium,Medium,False,False,False,PVC Pipes,3454.305555555556,23162.0,14227.488000000001,2108.0,19083.2,783.4909090909091,720.0,6031.0,25254.0,10978.0,105801.48
S000053,166.3,4,2,1,3,1,Medium,58.2,108.1,498.9,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,True,False,True,PVC Pipes,59448.40277777778,41892.0,46626.276,4272.0,64738.4,15256.362,1640.0,22709.0,60732.5,35165.5,352480.44
S000054,123.8,3,1,1,2,1,Medium,43.3,80.5,371.4,High,Medium,Medium,Medium,High,High,Medium,Medium,False,False,True,PVC Pipes,14099.444444444445,38629.0,34273.242,3580.0,57661.2,16995.264,740.0,16057.0,43345.0,25103.0,250483.15
S000055,120.7,3,2,1,3,1,Low,42.2,78.5,362.1,Medium,Low,Low,Low,Medium,Low,Low,Low,False,False,False,PPR Pipes,8549.583333333334,41878.0,30928.306,2384.0,50233.600000000006,10435.722000000002,2220.0,17252.0,55441.5,24315.5,243638.21
S000056,161.7,4,1,1,2,1,Medium,56.6,105.1,485.1,Low,Medium,High,High,Medium,Low,Medium,Medium,True,False,True,PVC Pipes,43470.868055555555,43562.0,44798.91799999999,4288.0,83875.9,1857.492,850.0,21458.0,54967.5,32114.5,331243.18
S000057,125.4,3,2,1,1,1,High,43.9,81.5,376.2,High,High,High,Medium,Medium,Medium,High,High,True,True,True,PVC Pipes,46353.61111111111,31884.0,36173.97,5902.0,43799.1,16966.62,1900.0,25503.0,48285.0,27599.0,284366.3
