Brand,Product_Name,Door_Category,Material,Door_Type,Application,Size,Quality_Level,Quality_Score,Unit,Quantity_Rule,Rule_Value,Required_For,Optional,Price_EGP,Category,Subcategory,Grade,Quality_Price_Band,Estimated_Quantity,Estimated_Total_Cost,Finishing_Category
Security Doors,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Low,7.4,Piece,Per_Balcony,1,Balcony,False,5176,Doors,Balcony,Not Applicable,Low: <= 5307,1,5176,Doors
WPC Brand,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6332,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6332,Doors
WPC Brand,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4337,Doors,Interior,Not Applicable,Low: <= 5307,1,4337,Doors
AluDoor,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,13462,Doors,Entrance,Not Applicable,High: > 9745,1,13462,Doors
DoorTech,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Low,7.4,Piece,Per_Balcony,1,Balcony,False,5077,Doors,Balcony,Not Applicable,Low: <= 5307,1,5077,Doors
AluDoor,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4421,Doors,Interior,Not Applicable,Low: <= 5307,1,4421,Doors
Security Doors,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4649,Doors,Interior,Not Applicable,Low: <= 5307,1,4649,Doors
WoodCraft,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,5441,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,5441,Doors
WPC Brand,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,5100,Doors,Interior,Not Applicable,Low: <= 5307,1,5100,Doors
AluDoor,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,5666,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,5666,Doors
WPC Brand,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Low,7.4,Piece,Per_Balcony,1,Balcony,False,5085,Doors,Balcony,Not Applicable,Low: <= 5307,1,5085,Doors
AluDoor,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6771,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6771,Doors
AluDoor,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3940,Doors,Interior,Not Applicable,Low: <= 5307,1,3940,Doors
AluDoor,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,13241,Doors,Entrance,Not Applicable,High: > 9745,1,13241,Doors
Security Doors,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,9924,Doors,Entrance,Not Applicable,High: > 9745,1,9924,Doors
Security Doors,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,11979,Doors,Entrance,Not Applicable,High: > 9745,1,11979,Doors
WPC Brand,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6294,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6294,Doors
AluDoor,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,13388,Doors,Entrance,Not Applicable,High: > 9745,1,13388,Doors
WoodCraft,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Low,7.4,Piece,Per_Balcony,1,Balcony,False,4877,Doors,Balcony,Not Applicable,Low: <= 5307,1,4877,Doors
AluDoor,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Medium,7.2,Piece,Per_Room,1,Bedroom,False,5569,Doors,Interior,Not Applicable,Medium: 5307 - 9745,1,5569,Doors
Security Doors,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,5830,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,5830,Doors
Security Doors,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,10298,Doors,Entrance,Not Applicable,High: > 9745,1,10298,Doors
WPC Brand,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Low,7.4,Piece,Per_Balcony,1,Balcony,False,4689,Doors,Balcony,Not Applicable,Low: <= 5307,1,4689,Doors
WPC Brand,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4683,Doors,Interior,Not Applicable,Low: <= 5307,1,4683,Doors
Security Doors,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Medium,7.2,Piece,Per_Room,1,Bedroom,False,5462,Doors,Interior,Not Applicable,Medium: 5307 - 9745,1,5462,Doors
WPC Brand,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,11166,Doors,Entrance,Not Applicable,High: > 9745,1,11166,Doors
AluDoor,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,13850,Doors,Entrance,Not Applicable,High: > 9745,1,13850,Doors
Security Doors,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3979,Doors,Interior,Not Applicable,Low: <= 5307,1,3979,Doors
DoorTech,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6121,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6121,Doors
Security Doors,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,5035,Doors,Interior,Not Applicable,Low: <= 5307,1,5035,Doors
Security Doors,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,14040,Doors,Entrance,Not Applicable,High: > 9745,1,14040,Doors
WoodCraft,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,7429,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,7429,Doors
WoodCraft,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,5716,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,5716,Doors
AluDoor,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,5439,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,5439,Doors
Security Doors,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,5526,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,5526,Doors
Security Doors,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,11323,Doors,Entrance,Not Applicable,High: > 9745,1,11323,Doors
AluDoor,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,11823,Doors,Entrance,Not Applicable,High: > 9745,1,11823,Doors
Security Doors,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3861,Doors,Interior,Not Applicable,Low: <= 5307,1,3861,Doors
