Finishing_Category,Category,Subcategory,Product_Name,Brand,Quality_Level,Price_EGP,Unit,Quantity_Rule,Rule_Value,Required_For,Optional
Plumbing,Plumbing,PVC Pipes,PVC Drain Pipe,Georg Fischer,Medium,420,Piece,Per_Bathroom,2,Bathroom,False
Plumbing,Plumbing,PPR Pipes,PPR Pipe,Aqua Technology,Low,205,Piece,Per_Bathroom,6,Bathroom,False
Plumbing,Plumbing,PPR Pipes,PPR Pipe,Aqua Technology,Low,165,Piece,Per_Bathroom,6,Bathroom,False
Plumbing,Plumbing,PVC Pipes,PVC Drain Pipe,El Sherif,High,440,Piece,Per_Bathroom,2,Bathroom,False
Plumbing,Plumbing,PVC Pipes,PVC Drain Pipe,Nile,Medium,425,Piece,Per_Bathroom,2,Bathroom,False
Plumbing,Plumbing,PVC Pipes,PVC Drain Pipe,UPONOR,Medium,360,Piece,Per_Bathroom,2,Bathroom,False
Plumbing,Plumbing,PVC Pipes,PVC Drain Pipe,UPONOR,High,445,Piece,Per_Bathroom,2,Bathroom,False
Plumbing,Plumbing,PVC Pipes,PVC Drain Pipe,El Sherif,Medium,385,Piece,Per_Bathroom,2,Bathroom,False
Plumbing,Plumbing,PPR Pipes,PPR Pipe,Aqua Technology,Low,155,Piece,Per_Bathroom,6,Bathroom,False
Plumbing,Plumbing,PVC Pipes,PVC Drain Pipe,El Sherif,Medium,375,Piece,Per_Bathroom,2,Bathroom,False
Plumbing,Plumbing,PVC Pipes,PVC Drain Pipe,Nile,High,465,Piece,Per_Bathroom,2,Bathroom,False
Plumbing,Plumbing,PPR Pipes,PPR Pipe,UPONOR,Low,155,Piece,Per_Bathroom,6,Bathroom,False
Plumbing,Plumbing,PVC Pipes,PVC Drain Pipe,Georg Fischer,Medium,415,Piece,Per_Bathroom,2,Bathroom,False
Plumbing,Plumbing,PVC Pipes,PVC Drain Pipe,Georg Fischer,High,485,Piece,Per_Bathroom,2,Bathroom,False
Plumbing,Plumbing,PPR Pipes,PPR Pipe,El Sherif,Low,220,Piece,Per_Bathroom,6,Bathroom,False
Plumbing,Plumbing,PVC Pipes,PVC Drain Pipe,Georg Fischer,High,490,Piece,Per_Bathroom,2,Bathroom,False
Plumbing,Plumbing,PVC Pipes,PVC Drain Pipe,Aqua Technology,Medium,365,Piece,Per_Bathroom,2,Bathroom,False
Plumbing,Plumbing,PPR Pipes,PPR Pipe,UPONOR,Low,205,Piece,Per_Bathroom,6,Bathroom,False
Plumbing,Plumbing,PVC Pipes,PVC Drain Pipe,UPONOR,High,435,Piece,Per_Bathroom,2,Bathroom,False
Plumbing,Plumbing,PVC Pipes,PVC Drain Pipe,UPONOR,High,495,Piece,Per_Bathroom,2,Bathroom,False
Plumbing,Plumbing,PVC Pipes,PVC Drain Pipe,Nile,High,495,Piece,Per_Bathroom,2,Bathroom,False
Plumbing,Plumbing,PPR Pipes,PPR Pipe,Nile,Low,220,Piece,Per_Bathroom,6,Bathroom,False
Plumbing,Plumbing,PVC Pipes,PVC Drain Pipe,UPONOR,High,475,Piece,Per_Bathroom,2,Bathroom,False
Plumbing,Plumbing,PVC Pipes,PVC Drain Pipe,Georg Fischer,Medium,410,Piece,Per_Bathroom,2,Bathroom,False
Plumbing,Plumbing,PVC Pipes,PVC Drain Pipe,Aqua Technology,Medium,420,Piece,Per_Bathroom,2,Bathroom,False
Plumbing,Plumbing,PVC Pipes,PVC Drain Pipe,UPONOR,High,480,Piece,Per_Bathroom,2,Bathroom,False
Plumbing,Plumbing,PPR Pipes,PPR Pipe,El Sherif,Low,160,Piece,Per_Bathroom,6,Bathroom,False
Plumbing,Plumbing,PVC Pipes,PVC Drain Pipe,El Sherif,High,475,Piece,Per_Bathroom,2,Bathroom,False
Plumbing,Plumbing,PVC Pipes,PVC Drain Pipe,Georg Fischer,Medium,380,Piece,Per_Bathroom,2,Bathroom,False
Plumbing,Plumbing,PVC Pipes,PVC Drain Pipe,Nile,Medium,360,Piece,Per_Bathroom,2,Bathroom,False
Plumbing,Plumbing,PVC Pipes,PVC Drain Pipe,Nile,High,440,Piece,Per_Bathroom,2,Bathroom,False
Plumbing,Plumbing,PPR Pipes,PPR Pipe,Georg Fischer,Low,210,Piece,Per_Bathroom,6,Bathroom,False
Plumbing,Plumbing,PVC Pipes,PVC Drain Pipe,Georg Fischer,High,500,Piece,Per_Bathroom,2,Bathroom,False
Plumbing,Plumbing,PVC Pipes,PVC Drain Pipe,UPONOR,High,440,Piece,Per_Bathroom,2,Bathroom,False
Plumbing,Plumbing,PPR Pipes,PPR Pipe,UPONOR,Low,165,Piece,Per_Bathroom,6,Bathroom,False
Plumbing,Plumbing,PPR Pipes,PPR Pipe,El Sherif,Low,175,Piece,Per_Bathroom,6,Bathroom,False
Plumbing,Plumbing,PVC Pipes,PVC Drain Pipe,Nile,Medium,410,Piece,Per_Bathroom,2,Bathroom,False
