Finishing_Category,Brand,Product_Name,Category,Specification,Application,Power_W,Quality_Level,Quality_Score,Unit,Quantity_Rule,Rule_Value,Required_For,Optional,Price_EGP,Subcategory,Grade,Quality_Price_Band,Source_File,Price_Outlier
Electrical Finishing,El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1273,Modern Chandelier,Not Applicable,Medium: 174 - 2252,electrical_finishing.csv,False
Electrical Finishing,Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2564,Modern Chandelier,Not Applicable,High: > 2252,electrical_finishing.csv,False
Electrical Finishing,Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2699,Modern Chandelier,Not Applicable,High: > 2252,electrical_finishing.csv,False
Electrical Finishing,El Sewedy Electric,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,145,LED Spotlight,Not Applicable,Low: <= 174,electrical_finishing.csv,False
Electrical Finishing,Venus Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,113,LED Downlight,Not Applicable,Low: <= 174,electrical_finishing.csv,False
Electrical Finishing,Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2407,Modern Chandelier,Not Applicable,High: > 2252,electrical_finishing.csv,False
Electrical Finishing,Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1683,Modern Chandelier,Not Applicable,Medium: 174 - 2252,electrical_finishing.csv,False
Electrical Finishing,El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2920,Modern Chandelier,Not Applicable,High: > 2252,electrical_finishing.csv,False
Electrical Finishing,Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1940,Modern Chandelier,Not Applicable,Medium: 174 - 2252,electrical_finishing.csv,False
Electrical Finishing,Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1577,Modern Chandelier,Not Applicable,Medium: 174 - 2252,electrical_finishing.csv,False
Electrical Finishing,Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,2047,Modern Chandelier,Not Applicable,Medium: 174 - 2252,electrical_finishing.csv,False
Electrical Finishing,Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1616,Modern Chandelier,Not Applicable,Medium: 174 - 2252,electrical_finishing.csv,False
Electrical Finishing,Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1742,Modern Chandelier,Not Applicable,Medium: 174 - 2252,electrical_finishing.csv,False
Electrical Finishing,Osram,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,136,LED Spotlight,Not Applicable,Low: <= 174,electrical_finishing.csv,False
Electrical Finishing,Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2818,Modern Chandelier,Not Applicable,High: > 2252,electrical_finishing.csv,False
Electrical Finishing,Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2343,Modern Chandelier,Not Applicable,High: > 2252,electrical_finishing.csv,False
Electrical Finishing,Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1467,Modern Chandelier,Not Applicable,Medium: 174 - 2252,electrical_finishing.csv,False
Electrical Finishing,Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1803,Modern Chandelier,Not Applicable,Medium: 174 - 2252,electrical_finishing.csv,False
Electrical Finishing,Opple,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,73,LED Spotlight,Not Applicable,Low: <= 174,electrical_finishing.csv,False
