Brand,Product_Name,Electrical_Category,Specification,Application,Quality_Level,Quality_Score,Unit,Quantity_Rule,Rule_Value,Required_For,Optional,Price_EGP,Category,Subcategory,Grade,Quality_Price_Band
Schneider Electric,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,3073,Electrical,Wires & Cables,Not Applicable,High: > 2775
Legrand,Copper Wire,Wires & Cables,1.5 mm² / 100m,Lighting,Low,8.7,Roll,Per_Area,0.05,Lighting,False,1773,Electrical,Wires & Cables,Not Applicable,Low: <= 1966
Hager,Copper Wire,Wires & Cables,1.5 mm² / 100m,Lighting,Low,8.7,Roll,Per_Area,0.05,Lighting,False,1655,Electrical,Wires & Cables,Not Applicable,Low: <= 1966
Legrand,Copper Wire,Wires & Cables,1.5 mm² / 100m,Lighting,Medium,8.7,Roll,Per_Area,0.05,Lighting,False,2006,Electrical,Wires & Cables,Not Applicable,Medium: 1966 - 2775
El Sewedy Electric,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,2847,Electrical,Wires & Cables,Not Applicable,High: > 2775
Hager,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,2777,Electrical,Wires & Cables,Not Applicable,High: > 2775
Venus Electric,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,Medium,8.8,Roll,Per_Area,0.06,Sockets,False,2650,Electrical,Wires & Cables,Not Applicable,Medium: 1966 - 2775
Hager,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,3003,Electrical,Wires & Cables,Not Applicable,High: > 2775
El Sewedy Electric,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,3090,Electrical,Wires & Cables,Not Applicable,High: > 2775
Schneider Electric,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,Medium,8.8,Roll,Per_Area,0.06,Sockets,False,2614,Electrical,Wires & Cables,Not Applicable,Medium: 1966 - 2775
Schneider Electric,Double Socket,Sockets,16A / 2 Gang,Rooms,Low,7.4,Piece,Per_Room,4.0,Room,False,111,Electrical,Sockets,Not Applicable,Low: <= 1966
El Sewedy Electric,Copper Wire,Wires & Cables,1.5 mm² / 100m,Lighting,Low,8.7,Roll,Per_Area,0.05,Lighting,False,1751,Electrical,Wires & Cables,Not Applicable,Low: <= 1966
Schneider Electric,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,3077,Electrical,Wires & Cables,Not Applicable,High: > 2775
Schneider Electric,Copper Wire,Wires & Cables,1.5 mm² / 100m,Lighting,Medium,8.7,Roll,Per_Area,0.05,Lighting,False,1978,Electrical,Wires & Cables,Not Applicable,Medium: 1966 - 2775
Hager,Copper Wire,Wires & Cables,1.5 mm² / 100m,Lighting,Low,8.7,Roll,Per_Area,0.05,Lighting,False,1825,Electrical,Wires & Cables,Not Applicable,Low: <= 1966
El Sewedy Electric,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,2830,Electrical,Wires & Cables,Not Applicable,High: > 2775
Schneider Electric,Double Socket,Sockets,16A / 2 Gang,Rooms,Low,7.4,Piece,Per_Room,4.0,Room,False,143,Electrical,Sockets,Not Applicable,Low: <= 1966
Venus Electric,Double Socket,Sockets,16A / 2 Gang,Rooms,Low,7.4,Piece,Per_Room,4.0,Room,False,90,Electrical,Sockets,Not Applicable,Low: <= 1966
Hager,Copper Wire,Wires & Cables,1.5 mm² / 100m,Lighting,Medium,8.7,Roll,Per_Area,0.05,Lighting,False,2048,Electrical,Wires & Cables,Not Applicable,Medium: 1966 - 2775
Legrand,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,Medium,8.8,Roll,Per_Area,0.06,Sockets,False,2675,Electrical,Wires & Cables,Not Applicable,Medium: 1966 - 2775
Legrand,Copper Wire,Wires & Cables,1.5 mm² / 100m,Lighting,Low,8.7,Roll,Per_Area,0.05,Lighting,False,1688,Electrical,Wires & Cables,Not Applicable,Low: <= 1966
Schneider Electric,Copper Wire,Wires & Cables,1.5 mm² / 100m,Lighting,Low,8.7,Roll,Per_Area,0.05,Lighting,False,1649,Electrical,Wires & Cables,Not Applicable,Low: <= 1966
El Sewedy Electric,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,Medium,8.8,Roll,Per_Area,0.06,Sockets,False,2772,Electrical,Wires & Cables,Not Applicable,Medium: 1966 - 2775
El Sewedy Electric,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,Medium,8.8,Roll,Per_Area,0.06,Sockets,False,2693,Electrical,Wires & Cables,Not Applicable,Medium: 1966 - 2775
Schneider Electric,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,2912,Electrical,Wires & Cables,Not Applicable,High: > 2775
El Sewedy Electric,Copper Wire,Wires & Cables,1.5 mm² / 100m,Lighting,Medium,8.7,Roll,Per_Area,0.05,Lighting,False,2173,Electrical,Wires & Cables,Not Applicable,Medium: 1966 - 2775
Legrand,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,Medium,8.8,Roll,Per_Area,0.06,Sockets,False,2606,Electrical,Wires & Cables,Not Applicable,Medium: 1966 - 2775
El Sewedy Electric,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,2846,Electrical,Wires & Cables,Not Applicable,High: > 2775
El Sewedy Electric,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,2788,Electrical,Wires & Cables,Not Applicable,High: > 2775
El Sewedy Electric,Copper Wire,Wires & Cables,1.5 mm² / 100m,Lighting,Medium,8.7,Roll,Per_Area,0.05,Lighting,False,2066,Electrical,Wires & Cables,Not Applicable,Medium: 1966 - 2775
Hager,Copper Wire,Wires & Cables,1.5 mm² / 100m,Lighting,Medium,8.7,Roll,Per_Area,0.05,Lighting,False,2101,Electrical,Wires & Cables,Not Applicable,Medium: 1966 - 2775
Schneider Electric,Copper Wire,Wires & Cables,1.5 mm² / 100m,Lighting,Low,8.7,Roll,Per_Area,0.05,Lighting,False,1657,Electrical,Wires & Cables,Not Applicable,Low: <= 1966
Hager,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,2813,Electrical,Wires & Cables,Not Applicable,High: > 2775
Venus Electric,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,3015,Electrical,Wires & Cables,Not Applicable,High: > 2775
Legrand,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,Medium,8.8,Roll,Per_Area,0.06,Sockets,False,2732,Electrical,Wires & Cables,Not Applicable,Medium: 1966 - 2775
Hager,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,2981,Electrical,Wires & Cables,Not Applicable,High: > 2775
Schneider Electric,Copper Wire,Wires & Cables,1.5 mm² / 100m,Lighting,Low,8.7,Roll,Per_Area,0.05,Lighting,False,1759,Electrical,Wires & Cables,Not Applicable,Low: <= 1966
El Sewedy Electric,Copper Wire,Wires & Cables,1.5 mm² / 100m,Lighting,Low,8.7,Roll,Per_Area,0.05,Lighting,False,1848,Electrical,Wires & Cables,Not Applicable,Low: <= 1966
Hager,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,Medium,8.8,Roll,Per_Area,0.06,Sockets,False,2715,Electrical,Wires & Cables,Not Applicable,Medium: 1966 - 2775
Schneider Electric,Copper Wire,Wires & Cables,1.5 mm² / 100m,Lighting,Low,8.7,Roll,Per_Area,0.05,Lighting,False,1735,Electrical,Wires & Cables,Not Applicable,Low: <= 1966
Venus Electric,Double Socket,Sockets,16A / 2 Gang,Rooms,Low,7.4,Piece,Per_Room,4.0,Room,False,149,Electrical,Sockets,Not Applicable,Low: <= 1966
Schneider Electric,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,2872,Electrical,Wires & Cables,Not Applicable,High: > 2775
Hager,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,Medium,8.8,Roll,Per_Area,0.06,Sockets,False,2727,Electrical,Wires & Cables,Not Applicable,Medium: 1966 - 2775
Legrand,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,2796,Electrical,Wires & Cables,Not Applicable,High: > 2775
Hager,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,3072,Electrical,Wires & Cables,Not Applicable,High: > 2775
Venus Electric,Copper Wire,Wires & Cables,1.5 mm² / 100m,Lighting,Low,8.7,Roll,Per_Area,0.05,Lighting,False,1872,Electrical,Wires & Cables,Not Applicable,Low: <= 1966
Hager,Copper Wire,Wires & Cables,1.5 mm² / 100m,Lighting,Low,8.7,Roll,Per_Area,0.05,Lighting,False,1836,Electrical,Wires & Cables,Not Applicable,Low: <= 1966
El Sewedy Electric,Copper Wire,Wires & Cables,1.5 mm² / 100m,Lighting,Low,8.7,Roll,Per_Area,0.05,Lighting,False,1902,Electrical,Wires & Cables,Not Applicable,Low: <= 1966
Venus Electric,Copper Wire,Wires & Cables,1.5 mm² / 100m,Lighting,Low,8.7,Roll,Per_Area,0.05,Lighting,False,1672,Electrical,Wires & Cables,Not Applicable,Low: <= 1966
Hager,Copper Wire,Wires & Cables,1.5 mm² / 100m,Lighting,Low,8.7,Roll,Per_Area,0.05,Lighting,False,1648,Electrical,Wires & Cables,Not Applicable,Low: <= 1966
Venus Electric,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,2829,Electrical,Wires & Cables,Not Applicable,High: > 2775
Venus Electric,Copper Wire,Wires & Cables,1.5 mm² / 100m,Lighting,Medium,8.7,Roll,Per_Area,0.05,Lighting,False,2067,Electrical,Wires & Cables,Not Applicable,Medium: 1966 - 2775
Hager,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,Medium,8.8,Roll,Per_Area,0.06,Sockets,False,2726,Electrical,Wires & Cables,Not Applicable,Medium: 1966 - 2775
Schneider Electric,Copper Wire,Wires & Cables,1.5 mm² / 100m,Lighting,Medium,8.7,Roll,Per_Area,0.05,Lighting,False,2027,Electrical,Wires & Cables,Not Applicable,Medium: 1966 - 2775
El Sewedy Electric,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,2816,Electrical,Wires & Cables,Not Applicable,High: > 2775
Hager,Double Socket,Sockets,16A / 2 Gang,Rooms,Low,7.4,Piece,Per_Room,4.0,Room,False,60,Electrical,Sockets,Not Applicable,Low: <= 1966
Legrand,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,Medium,8.8,Roll,Per_Area,0.06,Sockets,False,2668,Electrical,Wires & Cables,Not Applicable,Medium: 1966 - 2775
Schneider Electric,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,3040,Electrical,Wires & Cables,Not Applicable,High: > 2775
Legrand,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,2853,Electrical,Wires & Cables,Not Applicable,High: > 2775
Hager,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,2932,Electrical,Wires & Cables,Not Applicable,High: > 2775
Hager,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,3081,Electrical,Wires & Cables,Not Applicable,High: > 2775
Legrand,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,2876,Electrical,Wires & Cables,Not Applicable,High: > 2775
Hager,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,2991,Electrical,Wires & Cables,Not Applicable,High: > 2775
El Sewedy Electric,Copper Wire,Wires & Cables,1.5 mm² / 100m,Lighting,Low,8.7,Roll,Per_Area,0.05,Lighting,False,1936,Electrical,Wires & Cables,Not Applicable,Low: <= 1966
El Sewedy Electric,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,2796,Electrical,Wires & Cables,Not Applicable,High: > 2775
Hager,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,Medium,8.8,Roll,Per_Area,0.06,Sockets,False,2656,Electrical,Wires & Cables,Not Applicable,Medium: 1966 - 2775
Legrand,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,2825,Electrical,Wires & Cables,Not Applicable,High: > 2775
Venus Electric,Copper Wire,Wires & Cables,1.5 mm² / 100m,Lighting,Medium,8.7,Roll,Per_Area,0.05,Lighting,False,2178,Electrical,Wires & Cables,Not Applicable,Medium: 1966 - 2775
