Brand,Product_Name,Paint_Category,Paint_Type,Finish,Application,Quality_Level,Quality_Score,Coverage_m2_per_L,Coats,Unit,Waste_Factor,Quantity_Rule,Rule_Value,Required_For,Optional,Price_EGP,Category,Subcategory,Grade,Quality_Price_Band
Jotun,Interior Top Coat,Interior,Top Coat,Matte,Walls,Medium,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,95,Paints,Interior,Not Applicable,Medium: 56 - 147
GLC,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,166,Paints,Interior,Not Applicable,High: > 147
Sipes,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,219,Paints,Interior,Not Applicable,High: > 147
SCIB,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,205,Paints,Interior,Not Applicable,High: > 147
GLC,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,171,Paints,Interior,Not Applicable,High: > 147
Jotun,Interior Primer,Interior,Primer,Matte,Walls,Low,7.2,11,1,Liter,0.08,Paintable_Area/Coverage,1,Walls,False,35,Paints,Interior,Not Applicable,Low: <= 56
Sipes,Interior Primer,Interior,Primer,Matte,Walls,Low,7.2,11,1,Liter,0.08,Paintable_Area/Coverage,1,Walls,False,52,Paints,Interior,Not Applicable,Low: <= 56
Pachin,Interior Top Coat,Interior,Top Coat,Matte,Walls,Medium,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,123,Paints,Interior,Not Applicable,Medium: 56 - 147
GLC,Interior Primer,Interior,Primer,Matte,Walls,Low,7.2,11,1,Liter,0.08,Paintable_Area/Coverage,1,Walls,False,40,Paints,Interior,Not Applicable,Low: <= 56
SCIB,Interior Primer,Interior,Primer,Matte,Walls,Low,7.2,11,1,Liter,0.08,Paintable_Area/Coverage,1,Walls,False,37,Paints,Interior,Not Applicable,Low: <= 56
Sipes,Interior Top Coat,Interior,Top Coat,Matte,Walls,Medium,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,96,Paints,Interior,Not Applicable,Medium: 56 - 147
Pachin,Interior Top Coat,Interior,Top Coat,Matte,Walls,Medium,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,108,Paints,Interior,Not Applicable,Medium: 56 - 147
Sipes,Interior Primer,Interior,Primer,Matte,Walls,Low,7.2,11,1,Liter,0.08,Paintable_Area/Coverage,1,Walls,False,50,Paints,Interior,Not Applicable,Low: <= 56
GLC,Interior Primer,Interior,Primer,Matte,Walls,Low,7.2,11,1,Liter,0.08,Paintable_Area/Coverage,1,Walls,False,46,Paints,Interior,Not Applicable,Low: <= 56
Jotun,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,183,Paints,Interior,Not Applicable,High: > 147
Jotun,Interior Top Coat,Interior,Top Coat,Matte,Walls,Medium,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,139,Paints,Interior,Not Applicable,Medium: 56 - 147
SCIB,Interior Primer,Interior,Primer,Matte,Walls,Low,7.2,11,1,Liter,0.08,Paintable_Area/Coverage,1,Walls,False,51,Paints,Interior,Not Applicable,Low: <= 56
Sipes,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,193,Paints,Interior,Not Applicable,High: > 147
Sipes,Interior Top Coat,Interior,Top Coat,Matte,Walls,Medium,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,129,Paints,Interior,Not Applicable,Medium: 56 - 147
Pachin,Interior Primer,Interior,Primer,Matte,Walls,Low,7.2,11,1,Liter,0.08,Paintable_Area/Coverage,1,Walls,False,45,Paints,Interior,Not Applicable,Low: <= 56
GLC,Interior Primer,Interior,Primer,Matte,Walls,Medium,7.2,11,1,Liter,0.08,Paintable_Area/Coverage,1,Walls,False,59,Paints,Interior,Not Applicable,Medium: 56 - 147
Sipes,Interior Primer,Interior,Primer,Matte,Walls,Low,7.2,11,1,Liter,0.08,Paintable_Area/Coverage,1,Walls,False,56,Paints,Interior,Not Applicable,Low: <= 56
GLC,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,173,Paints,Interior,Not Applicable,High: > 147
SCIB,Interior Primer,Interior,Primer,Matte,Walls,Low,7.2,11,1,Liter,0.08,Paintable_Area/Coverage,1,Walls,False,44,Paints,Interior,Not Applicable,Low: <= 56
GLC,Interior Primer,Interior,Primer,Matte,Walls,Low,7.2,11,1,Liter,0.08,Paintable_Area/Coverage,1,Walls,False,53,Paints,Interior,Not Applicable,Low: <= 56
SCIB,Interior Top Coat,Interior,Top Coat,Matte,Walls,Medium,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,147,Paints,Interior,Not Applicable,Medium: 56 - 147
SCIB,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,215,Paints,Interior,Not Applicable,High: > 147
SCIB,Interior Primer,Interior,Primer,Matte,Walls,Low,7.2,11,1,Liter,0.08,Paintable_Area/Coverage,1,Walls,False,49,Paints,Interior,Not Applicable,Low: <= 56
SCIB,Interior Primer,Interior,Primer,Matte,Walls,Low,7.2,11,1,Liter,0.08,Paintable_Area/Coverage,1,Walls,False,56,Paints,Interior,Not Applicable,Low: <= 56
SCIB,Interior Top Coat,Interior,Top Coat,Matte,Walls,Medium,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,111,Paints,Interior,Not Applicable,Medium: 56 - 147
GLC,Interior Primer,Interior,Primer,Matte,Walls,Low,7.2,11,1,Liter,0.08,Paintable_Area/Coverage,1,Walls,False,36,Paints,Interior,Not Applicable,Low: <= 56
Sipes,Interior Top Coat,Interior,Top Coat,Matte,Walls,Medium,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,116,Paints,Interior,Not Applicable,Medium: 56 - 147
Jotun,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,186,Paints,Interior,Not Applicable,High: > 147
