Apartment_Area_m2,Rooms,Bathrooms,Master_Bathrooms,Balconies,Receptions,Finishing_Level,Ceilings_Quality,Doors_Quality,Electrical_Basic_Quality,Electrical_Finishing_Quality,Flooring_Quality,Paints_Quality,Plumbing_Quality,Sanitary_Quality,Include_Reception_Ceiling_Upgrade,Include_Reception_Chandelier,Include_Master_Bathroom_Upgrade,Plumbing_System,Total_Finishing_Cost_EGP
126.2,3,1,1,1,1,Medium,Low,Medium,Low,Medium,Medium,Medium,Medium,Medium,1,0,0,PVC Pipes,258998.29
95.2,2,1,1,1,1,High,Medium,Medium,High,High,High,Medium,High,High,1,1,1,PVC Pipes,223458.01
81.9,2,1,1,1,1,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Low,0,0,0,PVC Pipes,156286.96
149.0,4,1,1,0,1,Medium,Medium,Medium,High,Medium,Low,Medium,High,Medium,1,0,0,PVC Pipes,299506.85
114.8,3,2,1,1,1,Medium,Medium,High,High,Low,Low,Medium,High,Medium,0,1,1,PVC Pipes,249551.55
113.1,3,2,1,0,1,High,High,High,High,High,High,High,High,Medium,1,1,0,PVC Pipes,271981.69
164.0,4,1,1,2,1,High,High,Medium,High,Medium,High,High,High,High,1,1,0,PVC Pipes,352423.78
96.2,2,1,1,1,1,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,1,0,1,PVC Pipes,204642.77
90.3,2,1,1,0,1,Low,Medium,Low,Low,Low,Low,Low,Low,Low,0,0,0,PPR Pipes,147901.42
116.2,3,1,1,2,1,Low,Low,Low,Medium,Medium,Low,Low,Low,Low,0,0,0,PVC Pipes,201967.7
69.3,2,1,1,0,1,High,Medium,High,High,High,High,High,High,High,1,1,1,PVC Pipes,166470.49
138.8,3,2,1,2,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,0,0,1,PVC Pipes,263369.23
75.8,2,1,1,1,1,Low,Low,Medium,Medium,Low,Low,Low,Low,Medium,0,0,1,PPR Pipes,155880.73
86.9,2,1,1,1,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,0,0,1,PPR Pipes,170304.43
55.1,1,1,1,1,1,High,Medium,High,High,High,Medium,High,High,Medium,1,1,1,PVC Pipes,143960.16
77.2,2,1,1,2,1,Medium,Medium,Low,Medium,Medium,High,Low,Medium,Medium,1,0,0,PVC Pipes,175291.81
160.0,4,2,1,1,1,Medium,Low,High,Low,Medium,Medium,Medium,Medium,Low,0,0,0,PVC Pipes,295304.24
121.8,3,2,1,2,1,Low,Low,Medium,Medium,Low,Low,Medium,Low,Low,0,0,0,PPR Pipes,226236.48
131.7,3,2,1,2,1,Medium,High,Medium,High,Medium,Medium,Medium,Medium,Medium,1,1,1,PVC Pipes,320603.03
77.1,2,1,1,0,1,High,High,Medium,Medium,High,High,High,Medium,High,1,1,1,PVC Pipes,185914.9
154.0,3,1,1,1,1,Medium,Medium,Low,Medium,Medium,Low,High,Medium,Medium,1,1,0,PVC Pipes,316452.27
145.4,4,2,1,3,1,Medium,Medium,High,High,Medium,Medium,Medium,Low,High,1,0,1,PPR Pipes,357468.26
87.5,2,1,1,1,1,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,Medium,0,0,1,PPR Pipes,174311.52
92.7,2,1,1,1,1,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,1,1,1,PVC Pipes,206828.36
133.1,3,2,1,0,1,Medium,Medium,Medium,Low,Medium,Medium,High,Low,High,1,0,0,PPR Pipes,296531.63
102.5,3,1,1,1,1,Low,Low,Low,Low,Low,Medium,Low,Low,Low,0,0,0,PPR Pipes,176476.62
89.7,2,1,1,1,1,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,0,0,0,PVC Pipes,176839.38
104.6,3,2,1,1,1,High,High,Medium,High,High,Medium,High,High,High,1,1,1,PVC Pipes,261492.18
141.0,4,2,1,1,1,High,High,High,High,High,High,Medium,High,High,1,1,1,PVC Pipes,333518.14
69.9,2,1,1,1,1,High,High,High,High,High,Medium,High,High,High,1,1,1,PVC Pipes,188110.71
86.2,2,1,1,1,1,Low,Low,Low,Medium,Medium,Medium,Low,Low,Medium,0,0,0,PPR Pipes,159051.59
79.6,2,1,1,0,1,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,High,1,1,0,PVC Pipes,172024.5
57.0,1,1,1,1,1,High,High,High,High,Medium,Medium,High,High,High,0,1,1,PVC Pipes,132946.65
113.9,3,1,1,1,1,Medium,High,Medium,Medium,Low,Medium,Medium,Medium,High,0,1,1,PVC Pipes,212804.48
128.1,3,1,1,1,1,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,0,1,0,PVC Pipes,215014.51
130.3,3,2,1,2,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,1,0,0,PVC Pipes,285346.26
87.6,2,1,1,2,1,Low,Low,Medium,Low,Low,Low,Low,Medium,Low,0,0,0,PVC Pipes,168242.6
147.3,3,2,1,2,1,Low,Low,Low,Low,Low,Medium,Low,Medium,Medium,0,0,0,PVC Pipes,273168.55
82.5,2,1,1,0,1,High,High,High,High,High,High,High,High,High,1,1,1,PVC Pipes,213948.15
81.1,2,1,1,1,1,Low,Medium,Low,Medium,Low,Medium,Low,Medium,Low,0,1,0,PVC Pipes,158736.12
126.0,3,2,1,1,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,1,1,1,PVC Pipes,282965.75
83.2,2,1,1,1,1,High,Medium,High,High,Medium,Medium,Medium,Medium,Medium,1,1,1,PVC Pipes,193417.94
135.0,3,2,1,2,1,High,High,High,Medium,High,Medium,Medium,High,Medium,1,1,1,PVC Pipes,323936.35
67.5,2,1,1,0,1,Medium,Medium,Medium,Low,Medium,High,Low,Medium,Medium,0,0,0,PVC Pipes,126069.58
177.8,4,2,1,3,1,High,Medium,High,High,Medium,High,High,High,Medium,1,1,1,PVC Pipes,385186.63
94.4,2,1,1,1,1,Low,Low,Low,Low,Low,Low,Medium,Medium,Low,0,0,0,PVC Pipes,153128.08
99.3,2,1,1,0,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,1,0,0,PVC Pipes,205076.14
108.1,2,1,1,0,1,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,0,1,0,PVC Pipes,182301.62
79.1,2,1,1,1,1,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,1,1,1,PVC Pipes,189702.2
98.8,2,1,1,1,1,Low,Low,Low,Low,Low,Low,Low,Medium,Low,1,0,0,PVC Pipes,184284.78
50.0,1,1,1,0,1,High,High,High,Medium,High,High,High,High,Medium,1,0,1,PVC Pipes,138484.83
110.6,3,2,1,3,1,Low,Medium,Medium,Medium,Low,Low,Low,Low,Low,0,0,0,PPR Pipes,227405.7
169.2,4,1,1,3,1,High,High,Medium,High,High,High,High,High,High,1,1,1,PVC Pipes,364083.77
50.0,1,1,1,2,1,Medium,High,Medium,Medium,High,Medium,Medium,Medium,Medium,0,1,0,PVC Pipes,121029.5
156.3,4,1,1,2,1,Low,Low,Medium,Low,Low,Medium,Low,Medium,Low,0,0,0,PVC Pipes,266955.51
164.1,4,1,1,3,1,High,Medium,High,Medium,High,Medium,High,High,Medium,0,1,1,PVC Pipes,331267.58
172.2,4,2,1,2,1,Low,Low,Low,Medium,Medium,Medium,Low,Low,Low,0,1,1,PPR Pipes,326450.03
122.3,3,1,1,1,1,Medium,Medium,Medium,Low,Medium,High,Medium,Low,Low,0,0,1,PPR Pipes,214023.78
97.1,3,1,1,2,1,Low,Low,Low,Medium,Medium,Medium,Low,Medium,Low,0,0,0,PVC Pipes,177020.26
194.6,5,2,1,2,2,High,Medium,High,High,Medium,High,Medium,Medium,High,1,1,0,PVC Pipes,408800.38
154.4,4,1,1,2,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,1,1,1,PVC Pipes,326907.93
139.0,3,1,1,0,1,Low,Medium,Low,Low,Medium,Low,Low,Medium,Low,0,0,0,PVC Pipes,213705.12
76.3,2,1,1,1,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,0,1,0,PVC Pipes,142527.24
122.3,3,1,1,3,1,Medium,Low,Medium,Medium,Medium,High,High,Medium,Medium,1,1,1,PVC Pipes,270721.06
147.1,4,2,1,3,1,Low,Medium,Low,Low,Low,Low,Low,Low,Low,0,0,0,PPR Pipes,263223.19
85.8,2,1,1,1,1,Medium,Medium,Medium,Medium,Low,Medium,High,High,Medium,0,0,1,PVC Pipes,172004.36
102.3,3,2,1,1,1,Low,Low,Low,Medium,Medium,Low,Medium,Medium,Low,0,0,1,PVC Pipes,205283.77
157.7,4,2,1,3,1,High,Medium,High,High,High,High,High,Medium,Medium,1,1,1,PVC Pipes,384128.07
111.2,3,2,1,1,1,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,1,1,0,PVC Pipes,245175.7
